TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
309257814.00 ,1.2386034,120.61,5237,1.11,0.88,4.2427,256.345,11.6626
309257814.00 ,1.813576726,75.4,5237,1.10723,0.88,4.2427,256.345,11.6626
29857954.00 ,9.47686,69.55,5801.8,1.79,1.031,4.32,342.831,10.7379
270341214.00 ,29.7536112,100.06,6409,1.47,1.41,4.20097,152.023,8.8784
425997655.00 ,17.66713309,5.64,4813,0.691374004,0.78,4.38,39.0341,8.7513
425997655.00 ,29.79762049,3.46,4813,0.691374004,0.78,4.38,39.0341,8.7513
425997655.00 ,12.16221717,1.74,4813,0.691374004,0.78,4.38,39.0341,8.7513
425997655.00 ,3.976663949,0.45,4813,0.691374004,0.78,4.38,39.0341,8.7513
425997655.00 ,7.907672251,0.74,4813,0.691374004,0.78,4.38,39.0341,8.7513
307210830.00 ,3.6906795,2.5,3469,0.31,0.292836,4.9401,10.6194,9.41242
307210830.00 ,7.4507305,12.57,3469,0.31,0.292836,4.9401,10.6194,9.41242
307210830.00 ,2.2531134,0.72,3469,0.31,0.292836,4.9401,10.6194,9.41242
272086159.00 ,16.155373,103.66,3270,0.271,0.302101,4.98242,65.9528,13.4004
262530407.00 ,2.853100811,5.18,3703,0.517786026,0.515356,4.76229,22.4751,9.49275
251848941.00 ,6.557670017,8.86,4111,0.660806,0.68,4.55528,62.699,10.42
251848941.00 ,20.708504,12.29,4111,0.701202,0.68,4.55528,62.699,10.42
251848941.00 ,9.961997316,5.16,4111,0.660806,0.68,4.55528,62.699,10.42
251848941.00 ,3.238425315,2.91,4111,0.660806,0.68,4.55528,62.699,10.42
207141131.00 ,4.137437917,7.65,5058,0.802632987,0.85,4.51761,38.5653,8.1796
51912829.00 ,0.835411694,72.6,6082,2.070120096,1.21,3.77654,264.72,9.5183
76923707.00 ,4.532050173,39.81,4983,0.805572987,0.76,4.61445,96.2338,10.4654
76989773.00 ,1.76918,87.43,5569,0.96,,4.32065,107.399,9.683
183979262.00 ,3.430756485,317,6270,2.72192,1.34,3.61332,213.024,8.3291
300871545.00 ,4.817069,317,6380,1.45,1.41,4.24852,247.441,10.0433
100100827.00 ,0.9414523,129.66,6400,1.35,1.2,4.36583,123.483,8.8287
279741379.00 ,35.6134189,8.59,4628.53,0.71,0.73,4.32239,16.32,6.9934
279741379.00 ,7.789724479,0.97,4628.53,0.705464005,0.73,4.32239,16.32,6.9934
260304296.00 ,0.512580678,317,6725,1.551949978,1.45,4.19532,184.529,9.109901
280830734.00 ,1.16194614,11.75,6340.3,1.660889983,1.26,4.18,210.812,9.4668
278866211.00 ,2.19406,58.17,6054,1.04,1.21,4.39416,181.879,10.2638
166739520.00 ,10.02059978,94.92,6038,1.275269985,1.1,4.35513,157.963,9.6411
183532609.00 ,8.158454527,108.7,5600,0.996641,0.99,4.50501,89.9606,9.1468
183537452.00 ,3.922715213,37.23,4800,0.635603011,0.88,4.53527,87.5953,10.2499
183985250.00 ,0.79206924,18.6,5422,0.980172992,0.93,4.42223,80.4373,9.1031
211438925.00 ,4.899642187,317,5940,1.503700018,,4.23158,211.877,10.248
230982885.00 ,2.072759476,117.38,5640,1.12804997,1.01,4.43703,151.068,9.9696
234519192.00 ,1.163016078,93.5,6495,4.059569836,1.4,3.32048,292.32,8.0674
441462736.00 ,14.278122,53.04,5105,2.903239965,,3.39182,95.5483,7.3566
12421862.00 ,10.21501679,2.79,3763,0.447335988,0.4437,4.83739,23.7262,9.92801
309792357.00 ,104.872393,72.13,5350,0.88,0.88,4.52347,102.27,10.0391
410214986.00 ,8.138224343,34.57,5414,0.951985002,0.94,4.438,44.0622,7.8541
350618622.00 ,52.9780302,97.32,6461.8,1.33,1.31,4.35,113.825,8.5822
350618622.00 ,5.8492655,2.21,6461.8,1.33,1.31,4.35,113.825,8.5822
355509914.00 ,1.738673566,67.5,4746,0.820258021,0.73,4.52746,627.339,14.6723
259962054.00 ,51.94509,0.29,3203,0.23,0.202161,5.01682,24.7894,12.2423
281781375.00 ,43.82796012,6.87,5605,1.036540031,0.98,4.39973,95.3428,9.2182
281575427.00 ,4.252987882,8.95,6222.5,1.45381999,1.2,4.06,177.759,9.4525
55650590.00 ,0.736309522,2.77,3358,0.351675987,0.336144,4.438,47.7465,12.4312
260271203.00 ,5.649621,317,5963,1.21025,1.18,4.31132,969.506,13.4734
314865962.00 ,22.464083,6.79,5493,0.98,0.98,4.43001,148.372,10.3539
52204645.00 ,4.379442525,7.67,4892,0.742779016,0.81,4.50955,113.387,10.8545
141608198.00 ,9.010541367,5.28,3275,0.330146015,0.311261,4.438,42.8091,12.5395
300293197.00 ,6.562716546,30.9,5873.97,1.08871,,4.35182,121.321,9.4906
206609630.00 ,0.335272351,18.41,3332,0.3,,4.94964,,12.5595
234345288.00 ,23.51991564,6.61,4566.4,0.67206198,0.72,4.93,54.3256,9.7806
234345288.00 ,7.756531315,1.99,4566.4,0.67206198,0.72,4.93,54.3256,9.7806
167415965.00 ,18.5537756,2.97,5346.2,0.8,0.92,4.6,38.96,8.0089
167415965.00 ,9.6960161,0.52,5346.2,0.8,0.92,4.6,38.96,8.0089
231912935.00 ,26.28512555,12.17,5821,0.964450002,1.02,4.44094,166.485,10.5011
55652896.00 ,34.55478644,42.19,5025.77,0.801735997,0.84,4.66348,177.945,11.5748
55652896.00 ,17.38904539,34.46,5025.77,0.801735997,0.84,4.66348,177.945,11.5748
260043723.00 ,3.138604,35.75,6278,1.55,1.26,4.08153,142.018,8.735
32090583.00 ,0.438446154,0.05,3146,0.284538001,0.259077,4.438,52.3428,13.3292
260609205.00 ,4.4617589,317,6354,2.24,1.19,4.24472,1131.15,12.7222
150098860.00 ,10.6952968,8.18,5272.71,0.88,0.9,3.98846,90.7402,9.6878
316937670.00 ,0.62425,2.12,3765,0.525,0.385618,4.75169,50.1632,12.1535
144440290.00 ,,56.57,5709,1.0929,1.02,4.438,84.0311,8.7635
326453034.00 ,14.445918,76.37,5063,0.87237,,4.48439,365.053,10.2733
70797900.00 ,705.5844658,317,3689,0.486999989,0.522,4.78104,64.77016,11.1427
47525799.00 ,,26.24,4658,0.710767984,0.796,4.53096,115.742,11.0316
47484268.00 ,,21.42,3396,0.334,0.378406,4.91468,51.3563,12.4253
2760710.00 ,,19.13,2808,0.128,0.211546,5.20628,52.3436,13.8409
77044471.00 ,2.686504149,123.63,5738,1.182739973,1.06,4.23836,757.044,13.2576
120610833.00 ,3.126077752,83.66,5100,0.87470597,0.91,4.4651,211.196,11.5005
160074939.00 ,13.340145,12.82,6467,1.57943,1.36,4.16063,140.941,8.7435
204376737.00 ,3.361001127,108.44,5375,0.817704976,0.93,4.49371,197.119,11.4779
402026209.00 ,1.338230712,317,5436,0.894973993,0.97,4.46024,267.206,11.8295
415969908.00 ,11.67003923,4.74,3644,0.380272001,0.36905,4.79912,33.773,11.3018
415969908.00 ,7.201532661,3.56,3644,0.380272001,0.36905,4.79912,33.773,11.3018
12423815.00 ,2.839280918,86.71,3642,0.549329996,0.544652,4.438,249.345,14.6253
280095254.00 ,10.0902673,31.3,5454.42,,,3.44247,104.301,9.4688
9727392.00 ,4.534451,317,6421.5,1.47459,1.29,4.19,502.927,11.2932
305048087.00 ,5.433729,3.61,3139,0.214,0.180288,5.04944,38.0749,13.4102
9006668.00 ,1.273099607,4.13,5024,0.766027987,0.84,4.5685,80.5407,9.926601
9725627.00 ,4.156786358,68.47,6362.5,1.388309956,1.27,4.59,353.539,10.9774
101948569.00 ,19.47110179,9.18,4333,0.702944994,0.67,4.5109,74.881,10.7011
77031414.00 ,1.386651904,112.14,6286,1.076609969,1.03,4.438,232.98,10.9571
120585579.00 ,6.340315,317,6083,1.2666,1.19,4.28983,577.489,12.5766
149010208.00 ,3.437309256,317,6046,1.949319959,1.31,4.29639,709.175,11.681
118327550.00 ,7.397193544,2.28,3342,0.407103002,0.399476,4.438,22.0337,10.3475
154618248.00 ,8.77092124,27.77,6208,1.42,,4.438,127.272,8.5509
158623531.00 ,7.872893679,81.8,5070,1.26,,4.47933,169.272,11.2794
160148385.00 ,3.425256747,317,5540,1.116549969,0.98,4.42136,352.464,11.9116
201793781.00 ,5.991112351,6.26,5711.7,1.121479988,1.02,3.84,75.9529,8.4642
179985715.00 ,6.61538352,5.84,4157,0.603417993,0.63,4.59257,70.6272,11.2738
184240683.00 ,1.628429557,111.68,5700,1.094099998,1.02,4.39502,309.137,11.5464
224225541.00 ,4.937701318,9.45,5862,0.955756009,1.04,4.51783,99.523,9.3258
